"number.immigrants","p.establish","Kapx","r","b","beta","init.size","Kexact","rcrit"
"1",0.0127839514178982,50,1,8,12,1,36.52417469626,5.47582530373998
"2",0.0343616238778082,50,1,8,12,1,36.52417469626,5.47582530373998
"3",0.066179483236592,50,1,8,12,1,36.52417469626,5.47582530373998
"4",0.108538194757772,50,1,8,12,1,36.52417469626,5.47582530373998
"1",0.0095117259457037,100,1,8,12,1,87.424630354416,4.57536964558404
"2",0.026260249293667,100,1,8,12,1,87.424630354416,4.57536964558404
"3",0.0523757649444017,100,1,8,12,1,87.424630354416,4.57536964558404
"4",0.0897058032915426,100,1,8,12,1,87.424630354416,4.57536964558404
"1",0.00791445844702424,150,1,8,12,1,137.640828326185,4.35917167381547
"2",0.0220464037943344,150,1,8,12,1,137.640828326185,4.35917167381547
"3",0.0445039683561353,150,1,8,12,1,137.640828326185,4.35917167381547
"1",0.0110113460740774,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"2",0.0294074214331814,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"3",0.0565425211874217,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"4",0.0928258419149428,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"5",0.137679621639283,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"6",0.189709520783049,50,1,9,13.5,1,34.4731886124821,6.52681138751788
"1",0.00798947460033303,100,1,9,13.5,1,85.7523291251575,5.24767087484253
"2",0.0218915532969389,100,1,9,13.5,1,85.7523291251575,5.24767087484253
"3",0.0435193775033905,100,1,9,13.5,1,85.7523291251575,5.24767087484253
"4",0.074480298983092,100,1,9,13.5,1,85.7523291251575,5.24767087484253
"1",0.0067315420399834,150,1,9,13.5,1,136.03815682486,4.96184317513958
"2",0.0185940897022958,150,1,9,13.5,1,136.03815682486,4.96184317513958
"3",0.0373617460534524,150,1,9,13.5,1,136.03815682486,4.96184317513958
"4",0.0648293630395224,150,1,9,13.5,1,136.03815682486,4.96184317513958
"1",0.00936620703088297,50,1,10,15,1,32.2474487139159,7.75255128608411
"2",0.024907118352726,50,1,10,15,1,32.2474487139159,7.75255128608411
"3",0.0478976261524235,50,1,10,15,1,32.2474487139159,7.75255128608411
"4",0.078867786925631,50,1,10,15,1,32.2474487139159,7.75255128608411
"5",0.117501988056734,50,1,10,15,1,32.2474487139159,7.75255128608411
"6",0.162744785374845,50,1,10,15,1,32.2474487139159,7.75255128608411
"7",0.213032072625333,50,1,10,15,1,32.2474487139159,7.75255128608411
"1",0.00677101670472103,100,1,10,15,1,84.0512483795333,5.94875162046672
"2",0.0184398739042505,100,1,10,15,1,84.0512483795333,5.94875162046672
"3",0.0365668569304704,100,1,10,15,1,84.0512483795333,5.94875162046672
"4",0.0625653113774999,100,1,10,15,1,84.0512483795333,5.94875162046672
"5",0.0975990628574278,100,1,10,15,1,84.0512483795333,5.94875162046672
"1",0.00574979674714357,150,1,10,15,1,134.420493633626,5.57950636637436
"2",0.0157747570881671,150,1,10,15,1,134.420493633626,5.57950636637436
"3",0.0315851531813052,150,1,10,15,1,134.420493633626,5.57950636637436
"4",0.0547143010449515,150,1,10,15,1,134.420493633626,5.57950636637436
"5",0.086673498369495,150,1,10,15,1,134.420493633626,5.57950636637436
"1",0.0125272504716563,50,1,3,6,1,43.5561711201316,3.44382887986842
"2",0.0447243682414686,50,1,3,6,1,43.5561711201316,3.44382887986842
"1",0.00929202910120451,100,1,3,6,1,93.8017659699928,3.19823403000718
"2",0.0339722846841672,100,1,3,6,1,93.8017659699928,3.19823403000718
"1",0.00771009160653241,150,1,3,6,1,143.872224634439,3.1277753655606
"2",0.0284464201676247,150,1,3,6,1,143.872224634439,3.1277753655606
"1",0.0068655713950813,50,1,4,8,1,41.138357147217,4.86164285278295
"2",0.0249900345830953,50,1,4,8,1,41.138357147217,4.86164285278295
"3",0.0592718789961409,50,1,4,8,1,41.138357147217,4.86164285278295
"4",0.111826565916076,50,1,4,8,1,41.138357147217,4.86164285278295
"1",0.00522042408191565,100,1,4,8,1,91.6348484585428,4.36515154145714
"2",0.0193213707986737,100,1,4,8,1,91.6348484585428,4.36515154145714
"3",0.0470474103533632,100,1,4,8,1,91.6348484585428,4.36515154145714
"1",0.00438268639803006,150,1,4,8,1,141.767724987817,4.23227501218322
"2",0.0163205481474601,150,1,4,8,1,141.767724987817,4.23227501218322
"3",0.0401432073269614,150,1,4,8,1,141.767724987817,4.23227501218322
"1",0.0037235828392586,50,1,5,10,1,38.5078105935821,6.49218940641788
"2",0.0137461092578661,50,1,5,10,1,38.5078105935821,6.49218940641788
"3",0.0338969353675479,50,1,5,10,1,38.5078105935821,6.49218940641788
"4",0.066889032384306,50,1,5,10,1,38.5078105935821,6.49218940641788
"5",0.113516114798858,50,1,5,10,1,38.5078105935821,6.49218940641788
"1",0.00301629747487988,100,1,5,10,1,89.4076365356005,5.59236346439948
"2",0.0112634564018829,100,1,5,10,1,89.4076365356005,5.59236346439948
"3",0.0282632421511464,100,1,5,10,1,89.4076365356005,5.59236346439948
"4",0.0572604647470579,100,1,5,10,1,89.4076365356005,5.59236346439948
"5",0.100772087592081,100,1,5,10,1,89.4076365356005,5.59236346439948
"1",0.00256163276867921,150,1,5,10,1,139.628607910488,5.37139208951224
"2",0.0096060436081119,150,1,5,10,1,139.628607910488,5.37139208951224
"3",0.0242660448964641,150,1,5,10,1,139.628607910488,5.37139208951224
"4",0.0496784345309933,150,1,5,10,1,139.628607910488,5.37139208951224
"1",0.00204024278676374,50,1,6,12,1,35.5646599662505,8.43534003374946
"2",0.00760947423514032,50,1,6,12,1,35.5646599662505,8.43534003374946
"3",0.0194052367729574,50,1,6,12,1,35.5646599662505,8.43534003374946
"4",0.0399774042377405,50,1,6,12,1,35.5646599662505,8.43534003374946
"5",0.0708728093456127,50,1,6,12,1,35.5646599662505,8.43534003374946
"6",0.112220248350348,50,1,6,12,1,35.5646599662505,8.43534003374946
"7",0.162811374617235,50,1,6,12,1,35.5646599662505,8.43534003374946
"1",0.00174058388116574,100,1,6,12,1,87.1123422402632,6.88765775973685
"2",0.00654344871063344,100,1,6,12,1,87.1123422402632,6.88765775973685
"3",0.0168678642469986,100,1,6,12,1,87.1123422402632,6.88765775973685
"4",0.0353445497363301,100,1,6,12,1,87.1123422402632,6.88765775973685
"5",0.0642894780686004,100,1,6,12,1,87.1123422402632,6.88765775973685
"6",0.105442326458713,100,1,6,12,1,87.1123422402632,6.88765775973685
"1",0.00152004052878861,150,1,6,12,1,137.452272687814,6.54772731218571
"2",0.0057306166170766,150,1,6,12,1,137.452272687814,6.54772731218571
"3",0.0148323787594957,150,1,6,12,1,137.452272687814,6.54772731218571
"4",0.0312813798166458,150,1,6,12,1,137.452272687814,6.54772731218571
"5",0.0574674859489792,150,1,6,12,1,137.452272687814,6.54772731218571
"6",0.0955750643467137,150,1,6,12,1,137.452272687814,6.54772731218571
"1",0.00114000619813534,50,1,7,14,1,32.0948100502085,10.9051899497915
"2",0.00428429101580299,50,1,7,14,1,32.0948100502085,10.9051899497915
"3",0.0112448523740677,50,1,7,14,1,32.0948100502085,10.9051899497915
"4",0.0241329482267855,50,1,7,14,1,32.0948100502085,10.9051899497915
"5",0.0447637892525079,50,1,7,14,1,32.0948100502085,10.9051899497915
"6",0.07410691063434,50,1,7,14,1,32.0948100502085,10.9051899497915
"7",0.112029036644495,50,1,7,14,1,32.0948100502085,10.9051899497915
"8",0.157382409659111,50,1,7,14,1,32.0948100502085,10.9051899497915
"9",0.208329053320459,50,1,7,14,1,32.0948100502085,10.9051899497915
"10",0.262739253727757,50,1,7,14,1,32.0948100502085,10.9051899497915
"1",0.000999550024374718,100,1,7,14,1,84.7393776099978,8.26062239000222
"2",0.00377622183888303,100,1,7,14,1,84.7393776099978,8.26062239000222
"3",0.00996414412960716,100,1,7,14,1,84.7393776099978,8.26062239000222
"4",0.0215602306298341,100,1,7,14,1,84.7393776099978,8.26062239000222
"5",0.0405647209852268,100,1,7,14,1,84.7393776099978,8.26062239000222
"6",0.0686835751773131,100,1,7,14,1,84.7393776099978,8.26062239000222
"7",0.107150370610523,100,1,7,14,1,84.7393776099978,8.26062239000222
"1",0.000900843391081269,150,1,7,14,1,135.235782728386,7.76421727161421
"2",0.0034099019465632,150,1,7,14,1,135.235782728386,7.76421727161421
"3",0.00901703351205072,150,1,7,14,1,135.235782728386,7.76421727161421
"4",0.0195778295776023,150,1,7,14,1,135.235782728386,7.76421727161421
"5",0.0370500360282335,150,1,7,14,1,135.235782728386,7.76421727161421
"6",0.0633036791568927,150,1,7,14,1,135.235782728386,7.76421727161421
"7",0.100015613494821,150,1,7,14,1,135.235782728386,7.76421727161421
"1",0.000686870209927225,50,1,8,16,1,27.4031242374328,14.5968757625672
"2",0.00259525740552601,50,1,8,16,1,27.4031242374328,14.5968757625672
"3",0.00697643865741366,50,1,8,16,1,27.4031242374328,14.5968757625672
"4",0.0155358960680771,50,1,8,16,1,27.4031242374328,14.5968757625672
"5",0.030119781189741,50,1,8,16,1,27.4031242374328,14.5968757625672
